Orthogroup	Duplications (all)	Duplications (50% support)
OG0001305	4	4
OG0001306	2	2
OG0001307	1	1
OG0001308	4	4
OG0001309	1	1
OG0001310	4	4
OG0001311	1	1
OG0001312	1	1
OG0001313	11	11
OG0001314	4	4
OG0001315	4	4
OG0001316	4	4
OG0001317	7	7
OG0001318	1	1
OG0001319	2	2
OG0001320	4	4
OG0001321	4	4
OG0001322	4	4
OG0001323	4	4
OG0001324	4	3
OG0001325	3	3
OG0001326	4	4
OG0001327	1	1
OG0001328	2	1
OG0001329	2	2
OG0001330	7	7
OG0001331	3	3
OG0001332	5	5
OG0001333	1	1
OG0001334	2	2
OG0001335	4	4
OG0001336	4	4
OG0001337	1	1
OG0001338	3	3
OG0001339	5	4
OG0001340	2	2
OG0001341	1	1
OG0001342	3	3
OG0001343	3	3
OG0001344	4	4
OG0001345	1	1
OG0001346	11	11
OG0001347	3	3
OG0001348	4	4
OG0001349	2	1
OG0001350	4	4
OG0001351	4	4
OG0001352	1	1
OG0001353	3	3
OG0001354	2	2
OG0001355	4	4
OG0001356	2	2
OG0001357	1	1
OG0001358	4	4
OG0001359	2	2
OG0001360	1	1
OG0001361	3	3
OG0001362	3	1
OG0001363	2	2
OG0001364	2	2
OG0001365	4	4
OG0001366	4	4
OG0001367	3	3
OG0001368	4	4
OG0001369	4	4
OG0001370	4	4
OG0001371	4	4
OG0001372	1	1
OG0001373	4	4
OG0001374	4	4
OG0001375	1	1
OG0001376	4	4
OG0001377	3	3
OG0001378	4	4
